"id";"shot_data_id";"expert_trajectory";"expert_note";"expert_p_system";"expert_suggestion";"expert_cause";"expert_err_msg";"expert_update_time"
1;6;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-12 06:16:53"
2;7;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-12 06:24:07"
3;8;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-12 16:27:27"
4;9;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-13 03:46:46"
5;10;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-13 16:32:42"
6;11;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-13 16:38:09"
7;12;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:02:59"
8;13;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:04:03"
9;14;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:20:52"
10;15;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:44:31"
