"id";"idx";"LID";"Player";"Date_str";"Date";"Token";"BallSpeed";"LaunchAngle";"LaunchDirection";"ClubHeadSpeed";"ClubAngleFace";"ClubAnglePath";"BackSpin";"SideSpin";"SmashFactor";"ClubType";"DistToPinFt";"CarryDistFt";"TotalDistFt"
1;"02188";"018";"Brian";"1670796220382";"2022-12-12 06:03:40";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
2;"02188";"018";"Brian";"1670796306444";"2022-12-12 06:05:06";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
3;"02188";"018";"Brian";"1670796721798";"2022-12-12 06:12:02";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
4;"02188";"018";"Brian";"1670796837260";"2022-12-12 06:13:57";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
5;"02188";"018";"Brian";"1670796972983";"2022-12-12 06:16:13";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
6;"02188";"018";"Brian";"1670797011239";"2022-12-12 06:16:51";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"";24.2;11.2;115.2
7;"02188";"018";"Brian";"1670797443472";"2022-12-12 06:24:03";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
8;"02188";"018";"Brian";"1670833645840";"2022-12-12 16:27:26";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
9;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
10;"02188";"018";"Brian";"1670920360605";"2022-12-13 16:32:41";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
11;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
12;"02188";"018";"Brian";"1671382977157";"2022-12-19 01:02:57";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
13;"02188";"018";"Brian";"1671383041462";"2022-12-19 01:04:01";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
14;"02188";"018";"Brian";"1671384050466";"2022-12-19 01:20:50";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
15;"02188";"018";"Brian";"1671385468897";"2022-12-19 01:44:29";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
16;"02188";"018";"Brian";"1671385486146";"2022-12-19 01:44:46";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
17;"02188";"018";"Brian";"1671385486146";"2022-12-19 01:44:46";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
18;"02188";"018";"Brian";"1671385486146";"2022-12-19 01:44:46";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
19;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
20;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
21;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
22;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
23;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
24;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
25;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
26;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
27;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
28;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
29;"02188";"018";"Brian";"1670874403048";"2022-12-13 03:46:43";"abcdrtrt656fg6fghyggg";116.3;8.0;1.0;88.7;1.52;-1.12;3000.0;52.0;1.31;"7lron";24.2;11.2;115.2
