"idx";"Player";"side_swing_plane_p2";"side_swing_plane_p3";"side_swing_plane_p4";"side_swing_plane_p5";"side_swing_plane_p6";"side_err_msg";"side_update_at";"clubhead_face_sweet_spot";"clubhead_err_msg";"clubhead_update_at";"front_is_head_lifted";"front_is_head_rotated";"front_is_knee_straightened";"front_err_msg";"front_update_at"
"084817";"Test-Celery";0;1;1;2;1;"";"2022-09-01 16:17:16";1;"";"2022-09-01 16:16:40";0;1;0;"";"2022-09-01 16:16:52"
"085040";"Test-Celery";1;1;2;1;2;"";"2022-09-01 16:13:39";1;"";"2022-09-01 16:13:05";0;0;0;"Traceback (most recent call last):
  File ""/mnt/trainData/celery_tasks.py"", line 67, in front
    front_detect.front_pose_detect(idx)
  File ""/mnt/trainData/brian/golf_pose_detect/src/pose/pose.py"", line 55, in front_pose_detect
    left_hip_y = results.pose_landmarks.landmark[mp_pose.PoseLandmark.LEFT_HIP].y * image_height
AttributeError: 'NoneType' object has no attribute 'landmark'
";"2022-09-01 16:13:06"
"085122";"Test-Celery";0;1;1;2;1;"";"2022-09-01 16:12:35";1;"";"2022-09-01 16:12:00";0;1;0;"";"2022-09-01 16:12:12"
"085218";"Test-Celery";1;1;2;2;1;"";"2022-09-01 16:11:23";1;"";"2022-09-01 16:10:47";0;1;0;"";"2022-09-01 16:11:01"
"085303";"Test-Celery";1;1;1;2;2;"";"2022-09-01 15:55:56";1;"";"2022-09-01 15:55:20";0;1;0;"";"2022-09-01 15:55:33"
"085358";"Test-Celery";1;1;1;2;1;"";"2022-09-01 15:39:45";1;"";"2022-09-01 15:39:09";0;1;0;"";"2022-09-01 15:39:22"
"085557";"Test-Celery";1;1;1;2;2;"";"2022-09-01 15:35:01";1;"";"2022-09-01 15:34:27";0;0;0;"IEEE 未偵測到 p1 p4";"2022-09-01 15:34:27"
"085640";"Test-Celery";1;1;2;2;2;"";"2022-09-01 15:33:42";1;"";"2022-09-01 15:33:06";0;1;0;"";"2022-09-01 15:33:19"
"092841";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-12-28 09:28:43";1;"";"2022-12-28 09:28:14";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-28 09:28:12"
"093455";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-12-28 09:34:57";1;"";"2022-12-28 09:34:28";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-28 09:34:27"
